"filename", "language", "Python", "HTML", "Ini", "pip requirements", "Markdown", "Docker", "Ignore", "YAML", "Log", "comment", "blank", "total"
"d:\453502\student_performance_service\apps\grades\urls.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\453502\student_performance_service\apps\grades\views.py", "Python", 144, 0, 0, 0, 0, 0, 0, 0, 0, 18, 32, 194
"d:\453502\student_performance_service\apps\notifications\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\453502\student_performance_service\apps\notifications\api_urls.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\453502\student_performance_service\apps\notifications\apps.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\453502\student_performance_service\apps\notifications\consumers.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 27
"d:\453502\student_performance_service\apps\notifications\routing.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\453502\student_performance_service\apps\notifications\urls.py", "Python", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\453502\student_performance_service\apps\notifications\utils.py", "Python", 69, 0, 0, 0, 0, 0, 0, 0, 0, 9, 16, 94
"d:\453502\student_performance_service\apps\notifications\views.py", "Python", 49, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17, 73
"d:\453502\student_performance_service\apps\requests_app\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\453502\student_performance_service\apps\requests_app\api_urls.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\453502\student_performance_service\apps\requests_app\apps.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\453502\student_performance_service\apps\requests_app\urls.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\453502\student_performance_service\apps\requests_app\views.py", "Python", 117, 0, 0, 0, 0, 0, 0, 0, 0, 9, 28, 154
"d:\453502\student_performance_service\apps\schedule\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\453502\student_performance_service\apps\schedule\api_urls.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\453502\student_performance_service\apps\schedule\apps.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\453502\student_performance_service\apps\schedule\urls.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\453502\student_performance_service\apps\schedule\views.py", "Python", 159, 0, 0, 0, 0, 0, 0, 0, 0, 16, 31, 206
"d:\453502\student_performance_service\config\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\453502\student_performance_service\config\asgi.py", "Python", 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 21
"d:\453502\student_performance_service\config\settings.py", "Python", 164, 0, 0, 0, 0, 0, 0, 0, 0, 24, 29, 217
"d:\453502\student_performance_service\config\urls.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"d:\453502\student_performance_service\config\wsgi.py", "Python", 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 12
"d:\453502\student_performance_service\docker\.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 18
"d:\453502\student_performance_service\docker\Dockerfile", "Docker", 0, 0, 0, 0, 0, 12, 0, 0, 0, 6, 7, 25
"d:\453502\student_performance_service\docker\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 5, 75
"d:\453502\student_performance_service\docs\README.md", "Markdown", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 14, 54
"d:\453502\student_performance_service\docs\requirements.txt", "pip requirements", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 10
"d:\453502\student_performance_service\logs\django.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 8118, 0, 9, 8127
"d:\453502\student_performance_service\manage.py", "Python", 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 16
"d:\453502\student_performance_service\pytest.ini", "Ini", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"d:\453502\student_performance_service\templates\accounts\admin_all_grades.html", "HTML", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 4, 87
"d:\453502\student_performance_service\templates\accounts\admin_all_schedule.html", "HTML", 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 5, 92
"d:\453502\student_performance_service\templates\accounts\admin_announcements.html", "HTML", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 4, 68
"d:\453502\student_performance_service\templates\accounts\admin_attendance.html", "HTML", 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 6, 106
"d:\453502\student_performance_service\templates\accounts\admin_news.html", "HTML", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 4, 71
"d:\453502\student_performance_service\templates\accounts\admin_penalties.html", "HTML", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 8, 94
"d:\453502\student_performance_service\templates\accounts\change_password.html", "HTML", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"d:\453502\student_performance_service\templates\accounts\curator_announcements.html", "HTML", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 8, 71
"d:\453502\student_performance_service\templates\accounts\curator_group_students.html", "HTML", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 4, 74
"d:\453502\student_performance_service\templates\accounts\group_list.html", "HTML", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 4, 79
"d:\453502\student_performance_service\templates\accounts\headman_attendance.html", "HTML", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 6, 88
"d:\453502\student_performance_service\templates\accounts\penalties_list.html", "HTML", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 3, 53
"d:\453502\student_performance_service\templates\accounts\profile.html", "HTML", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 2, 56
"d:\453502\student_performance_service\templates\accounts\profile_edit.html", "HTML", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 9, 69
"d:\453502\student_performance_service\templates\accounts\rating_list.html", "HTML", 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 6, 107
"d:\453502\student_performance_service\templates\accounts\register.html", "HTML", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 6, 41
"d:\453502\student_performance_service\templates\accounts\student_announcements.html", "HTML", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 3, 37
"d:\453502\student_performance_service\templates\analytics\student_analytics.html", "HTML", 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 7, 127
"d:\453502\student_performance_service\templates\analytics\teacher_analytics.html", "HTML", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 8, 130
"d:\453502\student_performance_service\templates\assignments\assignment_detail.html", "HTML", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 9, 92
"d:\453502\student_performance_service\templates\assignments\assignment_form.html", "HTML", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 8, 88
"d:\453502\student_performance_service\templates\assignments\grade_form.html", "HTML", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 9, 68
"d:\453502\student_performance_service\templates\assignments\student_list.html", "HTML", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 4, 87
"d:\453502\student_performance_service\templates\assignments\submissions_list.html", "HTML", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 3, 75
"d:\453502\student_performance_service\templates\assignments\submit_form.html", "HTML", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 5, 46
"d:\453502\student_performance_service\templates\assignments\teacher_list.html", "HTML", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 4, 90
"d:\453502\student_performance_service\templates\base.html", "HTML", 0, 843, 0, 0, 0, 0, 0, 0, 0, 6, 112, 961
"d:\453502\student_performance_service\templates\chat\available_users.html", "HTML", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15
"d:\453502\student_performance_service\templates\chat\chat_list.html", "HTML", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 5, 74
"d:\453502\student_performance_service\templates\chat\chat_room.html", "HTML", 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 15, 150
"d:\453502\student_performance_service\templates\core\about.html", "HTML", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 5, 35
"d:\453502\student_performance_service\templates\core\contacts.html", "HTML", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 3, 45
